index,step_estimated,layer_estimated,alpha_s,alpha_f
0,0,0,1.6688182353973389,0.9258800148963928
1,0,1,1.4542365074157715,0.3947303593158722
2,0,2,1.8139961957931519,1.9404726028442383
3,0,3,1.7102590799331665,1.8425471782684326
4,0,4,1.6415690183639526,1.71127450466156
5,0,5,1.4397321939468384,1.6853610277175903
6,0,6,1.4677094221115112,1.4224934577941895
7,0,7,1.6732597351074219,1.5211511850357056
8,0,8,1.3529213666915894,1.5954859256744385
9,0,9,1.1088850498199463,1.09804105758667
10,0,10,1.1077443361282349,1.1897087097167969
11,0,11,1.2806085348129272,1.8287885189056396
12,0,12,0.9256681203842163,1.885455846786499
13,0,13,1.2221325635910034,1.4095317125320435
14,0,14,1.2584341764450073,1.7781078815460205
15,0,15,1.1236343383789062,1.8355836868286133
16,0,16,1.2262442111968994,1.7122124433517456
17,0,17,1.155370831489563,1.6674373149871826
18,0,18,1.410935878753662,1.5480879545211792
19,0,19,1.3275445699691772,1.6783572435379028
20,0,20,1.1270513534545898,1.3248279094696045
21,0,21,1.2187119722366333,1.5980224609375
22,0,22,1.1465705633163452,1.3966327905654907
23,0,23,1.0425509214401245,1.3172438144683838
24,0,24,1.048987627029419,1.2030243873596191
25,0,25,1.1298198699951172,1.3323363065719604
26,0,26,0.8180292844772339,0.9648004770278931
27,0,27,1.3715540170669556,1.6108824014663696
28,0,28,1.1204488277435303,1.1839264631271362
29,0,29,1.1363967657089233,1.5023084878921509
30,0,30,1.1573272943496704,1.720499038696289
31,0,31,1.130377173423767,1.2450525760650635
32,0,32,1.0441254377365112,1.3903629779815674
33,0,33,1.1261320114135742,1.5734151601791382
34,0,34,0.9345158934593201,1.1589372158050537
35,0,35,1.371107816696167,1.2918018102645874
36,0,36,1.3098219633102417,1.8796508312225342
37,0,37,1.6023963689804077,1.6086509227752686
38,0,38,1.3063021898269653,1.8404227495193481
39,0,39,1.3670142889022827,1.871138334274292
40,0,40,1.3979771137237549,1.1155083179473877
41,0,41,1.564346194267273,1.8885226249694824
42,0,42,1.2897803783416748,0.9068396687507629
43,0,43,1.4208070039749146,1.7376055717468262
44,0,44,1.5716989040374756,1.3933578729629517
45,0,45,1.6584961414337158,1.7154384851455688
46,0,46,1.394726276397705,0.9971405267715454
47,0,47,1.4583547115325928,1.4153306484222412
48,0,48,1.4496313333511353,1.7870897054672241
49,0,49,1.4265837669372559,1.7845146656036377
50,0,50,1.5734875202178955,1.6836721897125244
51,0,51,1.398970365524292,1.9108861684799194
52,0,52,1.5025919675827026,1.734288215637207
53,0,53,1.635067105293274,1.5583025217056274
54,0,54,1.885660171508789,1.8270177841186523
55,0,55,1.9515118598937988,1.7664730548858643
56,0,56,1.9367198944091797,1.9761666059494019
57,0,57,1.633435845375061,1.7915822267532349
58,0,58,1.8921349048614502,1.9287954568862915
59,0,59,1.6529011726379395,1.9800432920455933
60,0,60,1.5847748517990112,1.8593336343765259
61,0,61,1.8105295896530151,0.530467689037323
62,0,62,1.7821824550628662,1.6170763969421387
63,0,63,1.7870725393295288,1.9175416231155396
64,1,0,1.637847661972046,0.9429996609687805
65,1,1,1.4287315607070923,0.418399453163147
66,1,2,1.7973533868789673,1.9338806867599487
67,1,3,1.6991791725158691,1.8316001892089844
68,1,4,1.6225905418395996,1.7083337306976318
69,1,5,1.4276142120361328,1.6799298524856567
70,1,6,1.445766568183899,1.4235072135925293
71,1,7,1.615207552909851,1.5370619297027588
72,1,8,1.332675576210022,1.575416088104248
73,1,9,1.1261483430862427,1.1111483573913574
74,1,10,1.120785117149353,1.2085319757461548
75,1,11,1.259047269821167,1.8167604207992554
76,1,12,0.9611132740974426,1.8778282403945923
77,1,13,1.2862073183059692,1.4467114210128784
78,1,14,1.26114022731781,1.7714871168136597
79,1,15,1.1328377723693848,1.8255226612091064
80,1,16,1.2398897409439087,1.7069034576416016
81,1,17,1.1510766744613647,1.6504848003387451
82,1,18,1.3897837400436401,1.5373908281326294
83,1,19,1.3106203079223633,1.6640762090682983
84,1,20,1.1188122034072876,1.3281290531158447
85,1,21,1.2130029201507568,1.5806251764297485
86,1,22,1.1490113735198975,1.3912672996520996
87,1,23,1.0275044441223145,1.306734561920166
88,1,24,1.0340832471847534,1.1958659887313843
89,1,25,1.1381733417510986,1.324587106704712
90,1,26,0.8513492345809937,0.9893369674682617
91,1,27,1.3591253757476807,1.6098535060882568
92,1,28,1.1140679121017456,1.18329656124115
93,1,29,1.1567548513412476,1.4894665479660034
94,1,30,1.1618045568466187,1.7025526762008667
95,1,31,1.1348161697387695,1.2424315214157104
96,1,32,1.0583298206329346,1.3980239629745483
97,1,33,1.13462495803833,1.5612235069274902
