index,step_estimated,layer_estimated,alpha_s,alpha_f
0,0,0,0.73247923,1.68160082
1,0,1,0.50520728,1.80892104
2,0,2,0.66216898,1.62708588
3,0,3,0.80490054,1.87452469
4,0,4,0.55221673,1.62848048
5,0,5,0.67996083,1.40476289
6,0,6,0.90507872,1.75878076
7,0,7,0.63651655,1.84547619
8,0,8,0.60036947,1.65717192
9,0,9,0.63242795,1.72906002
10,0,10,0.62224267,1.23079701
11,0,11,0.60017996,1.75100123
12,0,12,0.63189236,1.63163736
13,0,13,0.38645376,1.49800078
14,0,14,0.54052429,1.65167075
15,0,15,0.47035259,1.35438895
16,0,16,0.4201008,1.63001599
17,0,17,0.78982475,1.5879123
18,0,18,0.59086648,1.85470658
19,0,19,0.50391926,1.67400291
20,0,20,0.85021627,1.41842707
21,0,21,0.5449724,1.45947162
22,0,22,0.65396109,1.76460248
23,0,23,0.45842304,1.71548733
24,0,24,0.56938274,1.6368187
25,0,25,0.64546584,1.89460365
26,0,26,0.52740435,1.54598903
27,0,27,0.6206833,1.78389454
28,0,28,0.54202717,1.55181208
29,0,29,0.64410495,1.54502436
30,0,30,0.49200051,1.419996
31,0,31,0.89212053,1.44898466
32,0,32,0.66510292,1.54475894
33,0,33,0.50519783,1.66998368
34,0,34,0.70267314,1.61306503
35,0,35,0.47153015,1.47337431
36,0,36,0.70995253,1.43255715
37,0,37,0.44269358,1.62120737
38,0,38,0.34055854,1.47356682
39,0,39,0.72073201,1.52076129
40,0,40,0.8019738,1.88402566
41,0,41,0.72137648,1.75145288
42,0,42,0.7089729,1.93503919
43,0,43,0.57961291,1.68690421
44,0,44,0.36639568,1.61968707
45,0,45,0.50319428,1.59538304
46,0,46,0.76607687,1.1628031
47,0,47,0.86346915,1.46700565
48,0,48,0.66378819,1.69615058
49,0,49,0.39068638,1.88326673
50,0,50,0.6413883,1.62551368
51,0,51,0.53380833,1.66254879
52,0,52,0.55210745,1.54266521
53,0,53,0.91326697,1.47541182
54,0,54,0.64263852,1.78633977
55,0,55,0.7367491,1.78098462
56,0,56,0.46071571,1.70947588
57,0,57,0.64401713,1.5328523
58,0,58,0.6036658,1.78365905
59,0,59,0.75833614,1.337456
60,0,60,0.7193602,1.7204271
61,0,61,0.52128044,1.99
62,0,62,0.65382225,1.53401677
63,0,63,0.34901941,1.47631661
64,1,0,0.82592844,1.65299522
65,1,1,0.66483433,1.85313663
66,1,2,0.67306727,1.57216636
67,1,3,0.61922152,1.65630883
68,1,4,0.59473997,1.54215266
69,1,5,0.74554078,1.37655063
70,1,6,0.85174679,1.65239849
71,1,7,0.8804855,1.70356642
72,1,8,0.67270037,1.58317465
73,1,9,0.65293174,1.85939473
74,1,10,0.59648055,1.14675079
75,1,11,0.58579313,1.68019019
76,1,12,0.69544415,1.65375742
77,1,13,0.48995773,1.44385356
78,1,14,0.56197342,1.445327
79,1,15,0.55358249,1.33665995
80,1,16,0.52062311,1.50496316
81,1,17,0.68055574,1.60185672
82,1,18,0.46671563,1.87738218
83,1,19,0.46678411,1.45455661
84,1,20,0.94188373,1.49103983
85,1,21,0.68123095,1.56283666
86,1,22,0.59387805,1.68022574
87,1,23,0.49613968,1.68587219
88,1,24,0.56673889,1.51765207
89,1,25,0.76892,1.61739431
90,1,26,0.52118718,1.58611613
91,1,27,0.68900863,1.8209288
92,1,28,0.62600593,1.54750271
93,1,29,0.71075267,1.54026089
94,1,30,0.61436867,1.50409234
95,1,31,0.95384346,1.35779122
96,1,32,0.65580352,1.67976051
97,1,33,0.42595413,1.79427918
98,1,34,0.69296877,1.49136184
99,1,35,0.55959075,1.61587485
100,1,36,0.73132755,1.42569194
101,1,37,0.35513816,1.45285276
102,1,38,0.45690488,1.48214979
103,1,39,0.75760719,1.45562373
104,1,40,0.69479864,1.53782618
105,1,41,0.70880818,1.60323957
106,1,42,0.56694355,1.89015277
107,1,43,0.6245002,1.57336112
108,1,44,0.39060706,1.64492646
109,1,45,0.42624505,1.46396592
110,1,46,0.52349707,1.28283845
111,1,47,0.83350936,1.70178132
112,1,48,0.77022394,1.58396936
113,1,49,0.3840911,1.87701387
114,1,50,0.69719997,1.53578307
115,1,51,0.61812357,1.56678353
116,1,52,0.59007784,1.70514225
117,1,53,0.73311906,1.44456514
118,1,54,0.85992987,1.72705569
119,1,55,0.80768784,1.70152725
120,1,56,0.53199988,1.64454392
121,1,57,0.60564738,1.49116165
122,1,58,0.81584943,1.87489072
123,1,59,0.96865479,1.31606444
124,1,60,0.64797794,1.69042583
125,1,61,0.79740381,1.85163439
126,1,62,0.41694043,1.39119805
127,1,63,0.30072577,1.46072484
128,2,0,0.66416357,1.70931895
129,2,1,0.6569879,1.92893825
130,2,2,0.82357425,1.51845477
131,2,3,0.80696837,1.76529204
132,2,4,0.5096454,1.77617068
133,2,5,0.70962173,1.44110656
134,2,6,0.75021822,1.73792771
135,2,7,0.75633909,1.90513937
136,2,8,0.45241169,1.52208467
137,2,9,0.73219057,1.81386357
138,2,10,0.54486917,1.23227481
139,2,11,0.49511797,1.68730359
140,2,12,0.69630506,1.62962074
141,2,13,0.42032422,1.44058611
142,2,14,0.26892026,1.69138684
143,2,15,0.59262906,1.21739432
144,2,16,0.62255455,1.55171176
145,2,17,0.79186794,1.63437694
146,2,18,0.67904329,1.93751995
147,2,19,0.41862438,1.57539372
148,2,20,0.92186446,1.56362506
149,2,21,0.53932674,1.55502914
150,2,22,0.74519025,1.57201973
151,2,23,0.34201415,1.46158267
152,2,24,0.54717711,1.55334793
153,2,25,0.78721402,1.65832627
154,2,26,0.60802727,1.47956209
155,2,27,0.57047117,1.71626151
156,2,28,0.5910165,1.46748503
157,2,29,0.44123763,1.51912965
158,2,30,0.45577351,1.57016616
159,2,31,0.95755665,1.28069095
160,2,32,0.60725313,1.53508954
161,2,33,0.4867161,1.69097825
162,2,34,0.69491072,1.61649932
163,2,35,0.42483991,1.47679068
164,2,36,0.67315417,1.28028358
165,2,37,0.3121446,1.41648155
166,2,38,0.60833717,1.52682248
167,2,39,0.62393821,1.47218538
168,2,40,0.75217081,1.53353815
169,2,41,0.72522564,1.69661682
170,2,42,0.59059973,1.812271
171,2,43,0.58321737,1.41744155
172,2,44,0.30739348,1.72339108
173,2,45,0.67400785,1.54431881
174,2,46,0.62741581,1.31249291
175,2,47,1.05526586,1.66099749
176,2,48,0.6916964,1.50799987
177,2,49,0.25741533,1.96117198
178,2,50,0.6384916,1.43277413
179,2,51,0.54089889,1.53411684
180,2,52,0.68382009,1.64073299
181,2,53,0.7415007,1.5185024
182,2,54,0.81122646,1.67792926
183,2,55,0.91192901,1.73131133
184,2,56,0.44152474,1.67883627
185,2,57,0.53395575,1.32837648
186,2,58,0.77417078,1.93858105
187,2,59,0.68483343,1.41016846
188,2,60,0.52645952,1.62446711
189,2,61,0.5751467,1.83485766
190,2,62,0.48831855,1.36035212
191,2,63,0.49259262,1.48644487
192,3,0,0.7064579,1.61230848
193,3,1,0.58418527,1.826902
194,3,2,0.78829328,1.47402876
195,3,3,0.88746769,1.7736756
196,3,4,0.48239119,1.66074892
197,3,5,0.56293618,1.51191463
198,3,6,0.82688781,1.47285347
199,3,7,0.63597844,1.79758698
200,3,8,0.60142326,1.48531546
201,3,9,0.78353803,1.66480964
202,3,10,0.57626758,1.07319164
203,3,11,0.52906027,1.69011197
204,3,12,0.61852789,1.54532732
205,3,13,0.44457801,1.47203225
206,3,14,0.45918432,1.48642227
207,3,15,0.60910783,1.38022485
208,3,16,0.30141039,1.4663323
209,3,17,0.74436949,1.60035795
210,3,18,0.54455468,1.73639999
211,3,19,0.44614825,1.47283999
212,3,20,0.9643365,1.46211433
213,3,21,0.64420839,1.45482099
214,3,22,0.62218736,1.66574036
215,3,23,0.46891057,1.57866861
216,3,24,0.5925912,1.64960273
217,3,25,0.73739499,1.61394293
218,3,26,0.5745147,1.5449503
219,3,27,0.54437136,1.62768454
220,3,28,0.41130747,1.42960566
221,3,29,0.60878603,1.64800036
222,3,30,0.58696482,1.48669043
223,3,31,0.9952608,1.16661663
224,3,32,0.6678912,1.66912196
225,3,33,0.37412308,1.69369331
226,3,34,0.80152807,1.53057868
227,3,35,0.51856262,1.70950206
228,3,36,0.69694546,1.37058673
229,3,37,0.32036723,1.43195035
230,3,38,0.51826558,1.44314082
231,3,39,0.68632111,1.40448051
232,3,40,0.800155,1.56553481
233,3,41,0.75977506,1.58284102
234,3,42,0.61212939,1.76766149
235,3,43,0.57035761,1.61940541
236,3,44,0.48984741,1.52789403
237,3,45,0.61265846,1.66031884
238,3,46,0.6150456,1.42536268
239,3,47,0.74773182,1.45948524
240,3,48,0.56031175,1.69175278
241,3,49,0.43895985,1.92807424
242,3,50,0.72207671,1.44414143
243,3,51,0.78896444,1.61860449
244,3,52,0.55827991,1.61588926
245,3,53,0.7812988,1.40564372
246,3,54,0.74247859,1.77217559
247,3,55,0.9413206,1.78345826
248,3,56,0.65263892,1.64079224
249,3,57,0.52551638,1.41656363
250,3,58,0.70521413,1.86098917
251,3,59,0.66200122,1.47512106
252,3,60,0.56654986,1.61691278
253,3,61,0.54224943,1.75921451
254,3,62,0.55097002,1.42031969
255,3,63,0.36843876,1.37448374
256,4,0,0.69983391,1.8060075
257,4,1,0.61068261,1.63379147
258,4,2,0.7296834,1.5179875
259,4,3,0.66489311,1.69679325
260,4,4,0.5985918,1.66054881
261,4,5,0.76498551,1.54396414
262,4,6,0.86756039,1.51629417
263,4,7,0.97317356,1.78604986
264,4,8,0.58288275,1.54330299
265,4,9,0.74942035,1.77375462
266,4,10,0.53678395,1.11389642
267,4,11,0.57970984,1.63041829
268,4,12,0.63145624,1.57217838
269,4,13,0.34479935,1.62607524
270,4,14,0.1813743,1.65169156
271,4,15,0.66753325,1.08660034
272,4,16,0.47284989,1.48794085
273,4,17,0.58672573,1.54194845
274,4,18,0.42713988,1.91247264
275,4,19,0.51519828,1.57459078
276,4,20,0.92977064,1.33900872
277,4,21,0.5763615,1.51449331
278,4,22,0.56454857,1.74495709
279,4,23,0.4192513,1.5699339
280,4,24,0.62740895,1.50668393
281,4,25,0.63995066,1.7203434
282,4,26,0.39305546,1.61444338
283,4,27,0.75599237,1.67113993
284,4,28,0.5881844,1.34520985
285,4,29,0.68235766,1.48666541
286,4,30,0.52011573,1.57571142
287,4,31,0.8736838,1.21840275
288,4,32,0.52563465,1.64350574
289,4,33,0.39109858,1.73014873
290,4,34,0.60901695,1.68709043
291,4,35,0.48594441,1.50768178
292,4,36,0.63992558,1.37023218
293,4,37,0.35522827,1.57577425
294,4,38,0.46209987,1.51122386
295,4,39,0.65262977,1.42570966
296,4,40,0.78758369,1.38960057
297,4,41,0.57003997,1.67067566
298,4,42,0.64851156,1.81881612
299,4,43,0.60849872,1.60460011
300,4,44,0.38723049,1.52697508
301,4,45,0.55988055,1.46117019
302,4,46,0.61575397,1.12658453
303,4,47,0.89309035,1.58443762
304,4,48,0.72421469,1.63825671
305,4,49,0.5209715,1.99
306,4,50,0.55353222,1.4193866
307,4,51,0.54444174,1.59792629
308,4,52,0.59206399,1.48734063
309,4,53,0.75888235,1.31487456
310,4,54,0.75791807,1.60949743
311,4,55,0.71802292,1.55526209
312,4,56,0.44823708,1.75355304
313,4,57,0.5298558,1.62478935
314,4,58,0.74134451,1.77581294
315,4,59,0.72985271,1.39635403
316,4,60,0.5342624,1.64839625
317,4,61,0.82914748,1.87149045
318,4,62,0.57818118,1.34577234
319,4,63,0.46995949,1.60732629
320,5,0,0.67817477,1.8049985
321,5,1,0.68970552,1.6965624
322,5,2,0.80157091,1.60512658
323,5,3,0.93202429,1.5630357
324,5,4,0.56053103,1.57256765
325,5,5,0.61274979,1.49100954
326,5,6,0.90492301,1.48550553
327,5,7,0.79935605,1.81767608
328,5,8,0.62818709,1.61921229
329,5,9,0.80192279,1.80955469
330,5,10,0.5786991,1.0122851
331,5,11,0.61833501,1.67802413
332,5,12,0.71184566,1.44904091
333,5,13,0.28034845,1.57752486
334,5,14,0.39192292,1.60640791
335,5,15,0.57174735,1.24236889
336,5,16,0.57696305,1.46388938
337,5,17,0.70865177,1.5547086
338,5,18,0.4828617,1.73507408
339,5,19,0.45975016,1.42208332
340,5,20,0.97413282,1.34528111
341,5,21,0.60500883,1.4276817
342,5,22,0.77971247,1.69115844
